config,method,T_minus_t0,t0,t_label,label_horizon,n_seeds,validity,validity_lo,validity_hi,ps_C_world_oracle,ps_C_world_oracle_lo,ps_C_world_oracle_hi,ps_delta_total,ps_delta_total_lo,ps_delta_total_hi
smoke,CARLA,2,28,29,1,1,1.0,1.0,1.0,0.9,0.9,0.9,0.09999999999999998,0.09999999999999998,0.09999999999999998
smoke,PearlCARLA,2,28,29,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
smoke,CARLA,5,25,29,4,1,1.0,1.0,1.0,0.4,0.4,0.4,0.6,0.6,0.6
smoke,PearlCARLA,5,25,29,4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
smoke,CARLA,12,18,29,11,1,1.0,1.0,1.0,0.1,0.1,0.1,0.9,0.9,0.9
smoke,PearlCARLA,12,18,29,11,1,1.0,1.0,1.0,0.9,0.9,0.9,0.09999999999999998,0.09999999999999998,0.09999999999999998
smoke,CARLA,15,15,29,14,1,1.0,1.0,1.0,0.05,0.05,0.05,0.95,0.95,0.95
smoke,PearlCARLA,15,15,29,14,1,0.95,0.95,0.95,0.85,0.85,0.85,0.09999999999999998,0.09999999999999998,0.09999999999999998
smoke,CARLA,20,10,29,19,1,1.0,1.0,1.0,0.1,0.1,0.1,0.9,0.9,0.9
smoke,PearlCARLA,20,10,29,19,1,0.75,0.75,0.75,0.45,0.45,0.45,0.3,0.3,0.3
smoke,CARLA,25,5,29,24,1,1.0,1.0,1.0,0.05,0.05,0.05,0.95,0.95,0.95
smoke,PearlCARLA,25,5,29,24,1,0.55,0.55,0.55,0.15,0.15,0.15,0.4,0.4,0.4
smoke_interior_label,CARLA,2,28,18,-10,1,0.0,0.0,0.0,0.2,0.2,0.2,-0.2,-0.2,-0.2
smoke_interior_label,PearlCARLA,2,28,18,-10,1,0.1,0.1,0.1,0.2,0.2,0.2,-0.1,-0.1,-0.1
smoke_interior_label,CARLA,5,25,18,-7,1,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0
smoke_interior_label,PearlCARLA,5,25,18,-7,1,0.35,0.35,0.35,0.2,0.2,0.2,0.14999999999999997,0.14999999999999997,0.14999999999999997
smoke_interior_label,CARLA,12,18,18,0,1,0.95,0.95,0.95,0.3,0.3,0.3,0.6499999999999999,0.6499999999999999,0.6499999999999999
smoke_interior_label,PearlCARLA,12,18,18,0,1,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
smoke_interior_label,CARLA,15,15,18,3,1,1.0,1.0,1.0,0.3,0.3,0.3,0.7,0.7,0.7
smoke_interior_label,PearlCARLA,15,15,18,3,1,1.0,1.0,1.0,0.45,0.45,0.45,0.55,0.55,0.55
smoke_interior_label,CARLA,20,10,18,8,1,1.0,1.0,1.0,0.4,0.4,0.4,0.6,0.6,0.6
smoke_interior_label,PearlCARLA,20,10,18,8,1,1.0,1.0,1.0,0.85,0.85,0.85,0.15000000000000002,0.15000000000000002,0.15000000000000002
smoke_interior_label,CARLA,25,5,18,13,1,1.0,1.0,1.0,0.25,0.25,0.25,0.75,0.75,0.75
smoke_interior_label,PearlCARLA,25,5,18,13,1,1.0,1.0,1.0,0.8,0.8,0.8,0.19999999999999996,0.19999999999999996,0.19999999999999996
