benchmark,classifier,method,instance,validity,proximity_l1,proximity_l2,sparsity,sparsity_channels,sparsity_timepoints,trsi,scm_noise_plausibility,intervention_t,vacuous,cf_faith_rollout_hard,cf_faith_rollout_soft,cf_faith_pearl_hard,cf_faith_pearl_soft,cf_faith_rollout_hard_valid,cf_faith_pearl_hard_valid
smoke_seed1,lstm,CARLA,0,1,7.554020696556959,1.1850904529970792,0.5,0.0,0.5,1.185733346747709,0.49068693223457027,15,0,1.0,0.9999999999738233,0.0,0.9059733910312177,1.0,0.0
smoke_seed1,lstm,CARLA,1,1,6.5563822403297145,1.021231051077643,0.5,0.0,0.5,1.3853647909127524,0.5533626044306875,15,0,1.0,0.9999999998945847,0.0,0.9183358654739411,1.0,0.0
smoke_seed1,lstm,CARLA,2,1,7.987364371996544,1.2273079311612358,0.5,0.0,0.5,1.3743779824905664,0.47981628173459195,15,0,1.0,0.9999999999864408,0.0,0.9025538718960694,1.0,0.0
smoke_seed1,lstm,CARLA,3,1,7.558169846413629,1.2200086179946192,0.5,0.0,0.5,1.4754168871011144,0.5173374443236267,15,0,1.0,0.9999999999722603,0.0,0.9086768338365587,1.0,0.0
smoke_seed1,lstm,CARLA,4,1,5.785813324916754,0.8864174787491343,0.5,0.0,0.5,1.453922525705012,0.4222271886503047,15,0,1.0,0.9999999999885474,0.0,0.9291798687052669,1.0,0.0
smoke_seed1,lstm,CARLA,5,1,11.693772087198578,1.4704022352976438,0.2733333333333333,0.0,0.26666666666666666,1.5042536002284985,0.2965570174602944,8,0,1.0,0.9999999999694815,0.0,0.9031441462365725,1.0,0.0
smoke_seed1,lstm,CARLA,6,1,7.883673314980181,1.1743640786518477,0.5,0.0,0.5,1.3361102295248892,0.5170142296003263,15,0,1.0,0.9999999999362117,0.0,0.9049490232103071,1.0,0.0
smoke_seed1,lstm,CARLA,7,1,9.963034906981685,1.5800592808308833,0.5,0.0,0.5,1.5175659728319746,0.4582156691784631,15,0,1.0,0.9999999999955139,0.0,0.8798473620445961,1.0,0.0
smoke_seed1,lstm,CARLA,8,1,10.461146320507344,1.3746834386425848,0.28,0.0,0.26666666666666666,1.4056548515238623,0.2524341199520841,8,0,1.0,0.9999999999613344,0.0,0.9113758893416908,1.0,0.0
smoke_seed1,lstm,CARLA,9,1,13.507849739275516,1.812164841312094,0.2733333333333333,0.0,0.26666666666666666,1.5641896141842366,0.35248152122031734,8,0,1.0,0.9999999999613595,0.0,0.8902033364313586,1.0,0.0
